Variables;Importance
results_flawfinder_note_buffer-equal;0.0067
results_flawfinder_note_buffer-wcsncpy;0.0067
results_flawfinder_note_buffer-fgetc;0.0070
results_flawfinder_error_format-vsnprintf;0.0071
results_flawfinder_note_obsolete-usleep;0.0078
results_flawfinder_warning_buffer-getopt_long;0.0078
results_flawfinder_note_buffer-wcscpy;0.0081
results_flawfinder_note_tmpfile-tmpfile;0.0082
results_flawfinder_error_buffer-vwscanf;0.0083
results_flawfinder_error_format-snprintf;0.0086
results_flawfinder_note_buffer-_tcscat;0.0087
results_flawfinder_error_format-syslog;0.0088
results_flawfinder_note_buffer-strncpy;0.0090
results_flawfinder_error_buffer-lstrcpynA;0.0099
results_flawfinder_warning_random-setstate;0.0107
results_flawfinder_error_format-vswprintf;0.0113
results_flawfinder_error_format-vfprintf;0.0113
results_flawfinder_note_format-vsprintf;0.0121
results_flawfinder_note_input-fread;0.0125
results_flawfinder_note_integer-atoi;0.0129
results_flawfinder_warning_random-srandom;0.0132
results_flawfinder_note_buffer-wcsncat;0.0132
results_flawfinder_warning_tmpfile-GetTempFileName;0.0137
results_flawfinder_error_buffer-lstrcpyA;0.0137
results_flawfinder_note_buffer-wcscat;0.0143
results_flawfinder_error_buffer-vsscanf;0.0150
results_flawfinder_error_format-fwprintf;0.0151
results_flawfinder_error_format-_snprintf;0.0151
results_flawfinder_error_buffer-vfwscanf;0.0151
results_flawfinder_note_buffer-MultiByteToWideChar;0.0158
results_flawfinder_error_shell-execl;0.0174
results_flawfinder_error_format-vprintf;0.0178
results_flawfinder_error_buffer-_tcscat;0.0181
results_flawfinder_error_access-RpcImpersonateClient;0.0181
results_flawfinder_error_shell-WinExec;0.0181
results_flawfinder_error_buffer-lstrcatW;0.0195
results_flawfinder_warning_random-random;0.0242
results_flawfinder_error_buffer-sscanf;0.0447
results_flawfinder_note_format-printf;0.0476
